0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
-0.7782185,-1.7037461,1.2194756,3.5613556,0.48695096,-0.22156581,-1.1138238,1.8629267,-1.5201144,1.5766432,0.42437473,1.0928828,0.15165234,0.5994155,0.016489148,-0.91360086,-0.004816733,-0.5375494,1.504525,-0.38858,0.36873496,0.029477235,0.5535148,0.008667894,1.0811918,-0.29237452,0.14046595,-0.10246909,0.5597095,0.9826844,0.59870285,-0.16378109,-0.12951778,0.37189373,0.64625764,-0.092262775,-0.0970659,0.6009701,-0.60712165,-0.046179425,0.5904038,-0.3141775,-0.4753151,0.063887805,0.2150765,-0.36276904,-0.3174851,-0.19272865,0.4467572,0.3075408
0.64437944,-0.004254133,-0.3206512,-0.097058274,-0.016594373,-0.73584723,0.26712355,-0.07723485,0.6613855,-0.5958174,-0.41993466,0.024208426,0.301453,-0.23381707,0.4146697,-0.25211558,-0.16551758,0.18242083,0.3715694,0.007742386,0.19577204,0.10917619,-0.29044572,0.11547519,-0.2442697,-0.29407305,0.12313674,-0.020496584,0.045813356,0.19985731,0.35339034,-0.20502804,-0.19520847,-0.041260686,0.057063237,0.23285636,-0.2056084,-0.062344164,-0.07380496,0.010409834,-0.022284303,-0.11188295,-0.013449075,-0.30789238,0.0579438,-0.07748853,0.011083242,-0.05487043,-0.017716868,-0.07754264
0.027748086,1.3153547,-1.6230382,-1.9422635,-1.0261273,1.123713,-0.27776766,-2.2949595,0.17256048,-0.7842773,-1.1677614,-0.45131692,-1.259648,-0.38045868,-0.4509186,0.7176281,-0.13879666,-0.012610637,-1.8130535,0.231573,-0.12715393,0.27314445,-0.9880689,-0.38815096,-1.2299707,0.78988534,0.19301222,-0.6050287,-0.93213654,-1.4433298,-0.4009318,0.54210734,0.6843155,0.069698006,-0.69952554,-0.6606894,0.8893319,-0.68839014,0.80687124,0.052448537,-0.866144,0.5963012,0.8317845,-0.015838888,-0.39510202,0.3884166,0.50412947,0.3545501,-0.43169054,-0.27415812
-0.3726943,-0.4269317,0.016990237,1.3827478,0.030634359,0.33453387,-0.98854893,-0.024624836,-0.44823015,0.07594229,-0.39227933,0.5985828,-0.4058228,-0.35844335,-0.15317751,-0.2883145,-0.17564698,-0.07657218,-0.03758368,0.00742415,0.14320184,0.050847575,-0.25714374,-0.08567384,0.17506242,-0.0715978,-0.093015805,-0.1353401,0.004844505,0.14269176,-0.048984323,0.118784286,0.13190424,0.25824338,-0.043314084,-0.24197705,0.112402014,0.06610344,-0.048972767,0.035688415,0.053392142,0.1280441,0.052570187,0.019246962,-0.2384796,-0.015273476,-0.04853087,-0.20802242,-0.08913143,0.000552174
-0.4101913,-0.96666926,1.2307464,1.2402936,0.6458705,-0.26993093,-0.41437593,0.7918777,-0.2860959,0.24621539,-0.13389474,0.5313968,0.051600326,-0.28762755,0.01424584,-0.60604423,-0.3283693,0.06058336,0.31855625,0.05754766,0.21439031,0.000264134,-0.12801263,-0.37665492,0.22300667,-0.17483926,0.18162027,0.08016422,0.23674153,0.46039602,0.27641147,-0.08227252,-0.00411788,0.03413371,0.2703031,0.02483998,-0.109845646,0.20265558,-0.14192936,0.08587781,0.14961794,-0.012402955,-0.22924191,-0.08155572,-0.012594749,-0.19280094,-0.027355585,0.02083097,-0.08223967,0.17788722
-0.67222685,-0.5456741,-0.21903054,2.0095677,0.20886916,1.0575162,-1.9659864,0.76729953,-1.705849,0.6968473,-0.5882894,0.9784393,-0.36672822,0.2876509,-0.45283735,-0.73829436,-0.42623678,-0.61972547,0.43198615,-0.11055218,0.5720804,0.124239996,0.28200778,-0.062194027,0.8204049,0.29188925,-0.09755721,-0.81322974,-0.049148355,0.46178678,0.34151787,0.04413356,0.4507442,0.14109786,0.2698451,-0.38959894,-0.004408319,0.28871086,-0.23368762,0.16827245,-0.21835563,-0.21325949,0.057572655,0.1353051,0.092980385,-0.077633485,-0.091792375,-0.000618096,0.27467054,0.29152647
0.80768687,0.742823,-0.538207,-0.96503115,-0.41252103,-0.81736094,0.3125563,-1.0277512,0.6291652,-0.8110249,-0.6274102,-0.24676922,0.28436193,-0.6078839,0.6411877,-0.29749942,0.21088526,-0.047208562,-0.29718253,0.33357587,-0.14390898,0.013836629,-0.51173615,-0.29686347,-0.4671809,-0.12048764,-0.086780146,0.09805871,0.043760292,-0.15650067,-0.24492714,0.037308678,-0.009314613,-0.15302666,0.069486246,0.37904778,-0.080345,0.01512905,-0.07022184,-0.17711219,-0.13500276,0.007969661,0.031219544,-0.21830407,-0.11981076,0.04927,-0.10028123,0.1601135,-0.20625918,-0.3127158
-0.6038789,-0.37397876,0.37624052,1.0586612,-0.061062932,0.73154885,-0.66559076,0.24328619,-0.7047873,0.4339373,-0.56073993,0.33809823,0.13415252,-0.26048288,-0.33662942,0.003879997,0.12010902,-0.29783818,-0.27774864,0.22903031,0.271721,-0.099005245,-0.26551062,-0.17175084,0.008204289,0.20843135,0.13458312,-0.323094,-0.45362583,-0.2905641,0.047050677,-0.018233437,0.36508912,-0.020240784,-0.096756235,-0.21104845,0.28122222,0.051946267,0.38601503,0.14981277,-0.001424719,0.012597869,0.16119197,0.018807542,-0.015034527,-0.13318431,0.06395349,0.14249705,-0.21079865,0.2086152
-0.1284385,-0.37985936,0.31353882,0.475843,0.6375215,-0.16143364,-0.22241667,-0.35708866,0.09870351,-0.28822467,-0.31945002,0.20786217,0.13765192,-0.5394623,0.058710404,-0.15946013,-0.31185412,0.026988998,-0.18455957,0.28857353,0.3082558,0.018815931,-0.2188469,-0.37800968,-0.2050969,0.046431642,0.31026837,-0.23907155,-0.095846474,-0.08009932,0.01964741,-0.13167283,0.17558603,0.21180235,0.018877573,-0.12616651,0.020263882,0.22164662,0.078495674,0.08494823,-0.118064575,-0.049484953,0.01317377,-0.19002187,0.039808527,-0.22310519,0.1773217,0.16937366,-0.23003708,0.06989669
0.7716256,0.45204353,-0.5739984,-2.4270463,-0.55560917,-0.7112388,0.662093,-1.448468,1.0945767,-1.0331534,0.1903606,-0.52635753,0.16940674,-0.2854009,0.38333225,0.23381451,-0.092459634,0.31112596,-0.65202004,0.48462662,-0.25082257,0.13335584,-0.6237769,-0.13710117,-0.8732925,0.08341437,0.20531973,0.12256026,-0.18111448,-0.2552655,-0.18745646,-0.17055006,0.054055087,-0.09521836,-0.42803606,0.27207735,-0.16677302,-0.37761855,0.11566158,0.12013299,-0.18945906,0.019309074,-0.09607941,-0.08919964,-0.13425764,0.04173375,-0.023039762,0.12542197,-0.3646834,-0.2684387
